County,Year,PerCapIncome
Mason,2014,28756.0
Mercer,2006,27837.0
Mercer,2007,28796.0
Mercer,2008,30215.0
Mercer,2009,31251.0
Mercer,2010,31978.0
Mercer,2011,32767.0
Mercer,2012,33825.0
Mercer,2013,33276.0
Mercer,2014,33752.0
Mineral,2006,26696.0
Mineral,2007,27782.0
Mineral,2008,28882.0
Mineral,2009,29870.0
Mineral,2010,31209.0
Mineral,2011,32543.0
Mineral,2012,33125.0
Mineral,2013,33699.0
Mineral,2014,34493.0
Mingo,2006,25868.0
Mingo,2007,27625.0
Mingo,2008,31599.0
Mingo,2009,30182.0
Mingo,2010,30588.0
Mingo,2011,33498.0
Mingo,2012,34110.0
Mingo,2013,31536.0
Mingo,2014,30032.0
Monongalia,2006,30783.0
Monongalia,2007,31743.0
Monongalia,2008,33673.0
Monongalia,2009,34445.0
Monongalia,2010,36148.0
Monongalia,2011,37217.0
Monongalia,2012,38062.0
Monongalia,2013,37738.0
Monongalia,2014,39762.0
Monroe,2006,22303.0
Monroe,2007,22922.0
Monroe,2008,23771.0
Monroe,2009,24048.0
Monroe,2010,25539.0
Monroe,2011,26916.0
Monroe,2012,27574.0
Monroe,2013,27350.0
Monroe,2014,28342.0
Morgan,2006,27012.0
Morgan,2007,27457.0
Morgan,2008,28043.0
Morgan,2009,27691.0
Morgan,2010,28219.0
Morgan,2011,29401.0
Morgan,2012,30316.0
Morgan,2013,29923.0
Morgan,2014,30670.0
Nicholas,2006,24992.0
Nicholas,2007,26857.0
Nicholas,2008,29172.0
Nicholas,2009,29613.0
Nicholas,2010,30397.0
Nicholas,2011,32448.0
Nicholas,2012,32339.0
Nicholas,2013,30736.0
Nicholas,2014,31651.0
Ohio,2006,42922.0
Ohio,2007,45163.0
Ohio,2008,46648.0
Ohio,2009,42018.0
Ohio,2010,40205.0
Ohio,2011,41976.0
Ohio,2012,44411.0
Ohio,2013,44406.0
Ohio,2014,47101.0
Pendleton,2006,26413.0
Pendleton,2007,27653.0
Pendleton,2008,28885.0
Pendleton,2009,29320.0
Pendleton,2010,30343.0
Pendleton,2011,31893.0
Pendleton,2012,31818.0
Pendleton,2013,32360.0
Pendleton,2014,33143.0
Pleasants,2006,26375.0
Pleasants,2007,28147.0
Pleasants,2008,30345.0
Pleasants,2009,30692.0
Pleasants,2010,31477.0
Pleasants,2011,33299.0
Pleasants,2012,35589.0
Pleasants,2013,36492.0
Pleasants,2014,38471.0
Pocahontas,2006,25256.0
Pocahontas,2007,25674.0
Pocahontas,2008,27265.0
Pocahontas,2009,28088.0
Pocahontas,2010,29050.0
Pocahontas,2011,29879.0
Pocahontas,2012,31357.0
