County,Year,Suicides,PopCDC
Lewis,2010,1.0,16372.0
Lewis,2011,2.0,16416.0
Lewis,2012,5.0,16371.0
Lewis,2013,1.0,16452.0
Lewis,2014,3.0,16414.0
Lincoln,2006,2.0,22064.0
Lincoln,2007,6.0,21953.0
Lincoln,2008,4.0,21881.0
Lincoln,2009,3.0,21794.0
Lincoln,2010,3.0,21720.0
Lincoln,2011,4.0,21550.0
Lincoln,2012,4.0,21627.0
Lincoln,2013,3.0,21559.0
Lincoln,2014,1.0,21561.0
Logan,2006,7.0,36440.0
Logan,2007,10.0,36443.0
Logan,2008,4.0,36548.0
Logan,2009,6.0,36645.0
Logan,2010,3.0,36743.0
Logan,2011,4.0,36457.0
Logan,2012,4.0,36168.0
Logan,2013,8.0,35987.0
Logan,2014,4.0,35348.0
McDowell,2006,4.0,23199.0
McDowell,2007,6.0,22746.0
McDowell,2008,5.0,22494.0
McDowell,2009,0.0,22276.0
McDowell,2010,7.0,22113.0
McDowell,2011,3.0,21729.0
McDowell,2012,7.0,21326.0
McDowell,2013,10.0,20876.0
McDowell,2014,6.0,20448.0
Marion,2006,7.0,56284.0
Marion,2007,6.0,56445.0
Marion,2008,9.0,56141.0
Marion,2009,6.0,56426.0
Marion,2010,6.0,56418.0
Marion,2011,12.0,56586.0
Marion,2012,12.0,56678.0
Marion,2013,7.0,56868.0
Marion,2014,7.0,56803.0
Marshall,2006,4.0,33814.0
Marshall,2007,5.0,33583.0
Marshall,2008,2.0,33248.0
Marshall,2009,5.0,33116.0
Marshall,2010,7.0,33107.0
Marshall,2011,4.0,32800.0
Marshall,2012,4.0,32674.0
Marshall,2013,7.0,32459.0
Marshall,2014,7.0,32416.0
Mason,2006,3.0,26648.0
Mason,2007,3.0,26738.0
Mason,2008,5.0,27097.0
Mason,2009,2.0,27309.0
Mason,2010,2.0,27324.0
Mason,2011,6.0,27298.0
Mason,2012,5.0,27179.0
Mason,2013,3.0,27126.0
Mason,2014,3.0,27016.0
Mercer,2006,19.0,61297.0
Mercer,2007,12.0,61615.0
Mercer,2008,13.0,61848.0
Mercer,2009,11.0,62177.0
Mercer,2010,17.0,62264.0
Mercer,2011,14.0,62465.0
Mercer,2012,14.0,62523.0
Mercer,2013,18.0,61984.0
Mercer,2014,14.0,61785.0
Mineral,2006,9.0,27324.0
Mineral,2007,3.0,27532.0
Mineral,2008,1.0,27824.0
Mineral,2009,5.0,28080.0
Mineral,2010,3.0,28212.0
Mineral,2011,4.0,28192.0
Mineral,2012,5.0,27956.0
Mineral,2013,3.0,27704.0
Mineral,2014,6.0,27578.0
Mingo,2006,3.0,27054.0
Mingo,2007,2.0,27145.0
Mingo,2008,3.0,26850.0
Mingo,2009,4.0,26943.0
Mingo,2010,2.0,26839.0
Mingo,2011,5.0,26563.0
Mingo,2012,4.0,26103.0
