County,Year,NumTrans,TotMME,TotDU,Suicides,PopCDC,PerCapIncome,FIPS
Clay,2012,843.0,2224705.695,337120.0,3.0,9297.0,28143.0,54015.0
Clay,2013,682.0,2308625.4749999954,323600.0,1.0,9244.0,27498.0,54015.0
Clay,2014,736.0,3370114.604999998,375410.0,1.0,8941.0,28882.0,54015.0
Doddridge,2006,191.0,768796.9125000002,111900.0,1.0,7848.0,15684.0,54017.0
Doddridge,2007,212.0,666715.3875000001,112600.0,0.0,7970.0,15094.0,54017.0
Doddridge,2008,342.0,816384.300000001,114700.0,1.0,8034.0,15896.0,54017.0
Doddridge,2009,395.0,1111440.3150000009,142130.0,1.0,8124.0,16231.0,54017.0
Doddridge,2010,419.0,1089210.6000000008,150400.0,1.0,8202.0,17036.0,54017.0
Doddridge,2011,459.0,1091208.6750000005,158300.0,2.0,8171.0,19017.0,54017.0
Doddridge,2012,475.0,1301211.2175000014,171760.0,3.0,8178.0,20104.0,54017.0
Doddridge,2013,452.0,1376998.5750000014,174500.0,1.0,8344.0,20628.0,54017.0
Doddridge,2014,490.0,1141271.3999999994,153100.0,5.0,8391.0,25590.0,54017.0
Fayette,2006,5938.0,12734648.197500208,2109700.0,6.0,46200.0,23801.0,54019.0
Fayette,2007,6727.0,15799587.70300038,2602580.0,10.0,46243.0,24882.0,54019.0
Fayette,2008,7468.0,18605483.846500214,2900860.0,6.0,46171.0,26642.0,54019.0
Fayette,2009,7243.0,20761571.49772508,3120170.0,6.0,46034.0,26849.0,54019.0
Fayette,2010,7678.0,20602321.28272514,3027700.0,14.0,46039.0,27506.0,54019.0
Fayette,2011,7693.0,22825006.189087637,3071790.0,6.0,45699.0,29669.0,54019.0
Fayette,2012,7834.0,29815947.43181248,3199140.0,6.0,45869.0,30926.0,54019.0
Fayette,2013,6932.0,26597874.29999995,2724520.0,8.0,45599.0,30353.0,54019.0
Fayette,2014,5724.0,28450867.844999947,2712000.0,6.0,45132.0,31043.0,54019.0
Gilmer,2006,557.0,1393703.2538625014,197100.0,1.0,8083.0,18764.0,54021.0
Gilmer,2007,661.0,1900938.8228625013,278000.0,1.0,8248.0,18763.0,54021.0
Gilmer,2008,784.0,2045917.432725,296600.0,0.0,8408.0,19492.0,54021.0
Gilmer,2009,830.0,2657736.862499998,354300.0,0.0,8529.0,19541.0,54021.0
Gilmer,2010,707.0,2416717.4794499986,307159.0,0.0,8693.0,20062.0,54021.0
Gilmer,2011,742.0,2247141.465225001,308740.0,0.0,8705.0,22264.0,54021.0
Gilmer,2012,734.0,2111264.2838625032,295360.0,1.0,8732.0,24132.0,54021.0
Gilmer,2013,815.0,2453186.940000002,295300.0,1.0,8672.0,24992.0,54021.0
Gilmer,2014,793.0,2964085.289999998,324600.0,1.0,8618.0,26801.0,54021.0
Grant,2006,614.0,2678689.432499999,289700.0,3.0,11834.0,24645.0,54023.0
Grant,2007,754.0,4174776.4372499962,406600.0,2.0,11969.0,25977.0,54023.0
Grant,2008,1118.0,10094037.2625,710600.0,0.0,12022.0,27163.0,54023.0
Grant,2009,974.0,6457756.5,522200.0,2.0,11963.0,27763.0,54023.0
Grant,2010,880.0,2589327.6675,341160.0,1.0,11937.0,28255.0,54023.0
Grant,2011,1099.0,2891317.0574999964,377840.0,4.0,11891.0,29781.0,54023.0
Grant,2012,1006.0,2772563.7224999983,366770.0,2.0,11816.0,30726.0,54023.0
Grant,2013,906.0,2871251.6025,365880.0,6.0,11759.0,31745.0,54023.0
