County,Year,NumTrans,TotMME,TotDU
Grant,2012,1006.0,2772563.7224999983,366770.0
Grant,2013,906.0,2871251.6024999996,365880.0
Grant,2014,888.0,3037304.1600000025,379970.0
Greenbrier,2006,5978.0,18376339.54131274,2280570.0
Greenbrier,2007,6936.0,20941193.324712753,2646820.0
Greenbrier,2008,7320.0,24569954.810525086,2899400.0
Greenbrier,2009,7948.0,32613642.556724954,3404052.0
Greenbrier,2010,8468.0,36714279.85158746,3613330.0
Greenbrier,2011,8615.0,41384543.318624794,3812370.0
Greenbrier,2012,9036.0,47279324.62567447,3863880.0
Greenbrier,2013,8217.0,41130867.693862125,3235180.0
Greenbrier,2014,6857.0,35427195.37522499,2865140.0
Hampshire,2006,1395.0,3972113.804999996,523900.0
Hampshire,2007,1300.0,4504083.975224999,597260.0
Hampshire,2008,1482.0,5233822.357724994,670100.0
Hampshire,2009,1874.0,6618021.405899996,769200.0
Hampshire,2010,2050.0,8317079.175449989,837040.0
Hampshire,2011,2289.0,9596351.41589999,939570.0
Hampshire,2012,2187.0,11176045.021124983,939790.0
Hampshire,2013,1987.0,9975203.003399992,835470.0
Hampshire,2014,1335.0,7906226.093175002,666940.0
Hancock,2006,5801.0,24754105.10617515,2256900.0
Hancock,2007,6720.0,26112715.86483763,2508310.0
Hancock,2008,6831.0,27991547.200312592,2517980.0
Hancock,2009,7287.0,35033630.325449854,2911280.0
Hancock,2010,7958.0,36698642.13453739,3135470.0
Hancock,2011,8067.0,33702168.23703746,3169370.0
Hancock,2012,8042.0,35243824.218374826,3183000.0
Hancock,2013,8891.0,34801279.571999766,3091020.0
Hancock,2014,8242.0,35766124.71926235,3076050.0
Hardy,2006,1232.0,3223975.535999983,341600.0
Hardy,2007,1633.0,4467538.505999978,562820.0
Hardy,2008,1894.0,7194001.27049999,731300.0
Hardy,2009,2097.0,9134052.56250002,748940.0
Hardy,2010,2082.0,5399717.2124999855,529600.0
Hardy,2011,2204.0,4799220.412499979,514800.0
Hardy,2012,2092.0,4813065.134999979,492640.0
Hardy,2013,2211.0,4675065.037499994,467060.0
Hardy,2014,1713.0,4212805.117499997,434150.0
Harrison,2006,9485.0,35610116.91999991,4584730.0
Harrison,2007,10874.0,38637484.78817491,5078000.0
Harrison,2008,11639.0,42767963.40516204,5579460.0
Harrison,2009,12075.0,46567511.513174236,6043850.0
Harrison,2010,12526.0,44547147.65999924,5983850.0
Harrison,2011,13761.0,49000767.461362064,6492890.0
Harrison,2012,13867.0,52016901.43499959,6451820.0
Harrison,2013,13459.0,47174522.602499716,5854440.0
Harrison,2014,10326.0,45675531.391574994,5517890.0
Jackson,2006,3412.0,6359474.659987454,948190.0
Jackson,2007,4205.0,7933158.110212492,1201460.0
Jackson,2008,5162.0,13781402.98680023,1631820.0
Jackson,2009,4774.0,15459295.734862702,1680352.5
Jackson,2010,5335.0,16486652.386800256,1748770.0
Jackson,2011,5680.0,18211271.070000257,1817880.0
Jackson,2012,5637.0,15454002.000000158,1778260.0
Jackson,2013,5777.0,15782365.770000106,1766100.0
Jackson,2014,4623.0,18097676.190000013,1868990.0
Jefferson,2006,4938.0,19922024.821000203,1723900.0
Jefferson,2007,5611.0,22871876.647500183,2016160.0
Jefferson,2008,5624.0,25133450.131500162,2095890.0
Jefferson,2009,5419.0,27770832.72022514,2261900.0
Jefferson,2010,5725.0,32320002.90135012,2386360.0
Jefferson,2011,5816.0,33016856.487937592,2457960.0
Jefferson,2012,5603.0,33150280.267950006,2315470.0
Jefferson,2013,5595.0,30567149.190224912,2137430.0
Jefferson,2014,4828.0,31822036.207499914,2153080.0
Kanawha,2006,22389.0,64845068.66857006,9166915.0
Kanawha,2007,26435.0,74749491.03270754,10705620.0
